telescope,filter,psf_case,psf_fwhm_arcsec,pixel_scale_arcsec,exposure_s,separation_arcsec,magnitude_each,n,n_detected,n_adequate,n_recovered,recovery_fraction,recovery_ci95_low,recovery_ci95_high,median_redchi,median_abs_separation_error_arcsec
KECK,V,combined_seeing_0p7_plus_instrumental_center,0.7644789593521327,0.1185,1000,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9869452210221596,0.0004368125105774223
KECK,V,combined_seeing_0p7_plus_instrumental_center,0.7644789593521327,0.1185,1000,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9913335727647565,0.00034794426373552234
KECK,V,instrumental_center,0.30717146627269887,0.1185,30,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9473098515466225,0.0005526915459836967
KECK,V,instrumental_center,0.30717146627269887,0.1185,30,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9403767474619593,0.0009514075175861003
KECK,V,instrumental_center,0.30717146627269887,0.1185,30,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9555628264783593,0.0008687045939509419
KECK,V,instrumental_center,0.30717146627269887,0.1185,300,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9751219699948592,0.00029747665076335084
KECK,V,instrumental_center,0.30717146627269887,0.1185,300,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9950785486211531,0.00020787275443495679
KECK,V,instrumental_center,0.30717146627269887,0.1185,300,2.0,20.0,30,30,29,29,0.9666666666666667,0.8332960900859083,0.9940914096183875,0.9796074676537685,0.00015659787835575756
KECK,V,instrumental_center,0.30717146627269887,0.1185,1000,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,1.0016981294518126,0.00012802909034032028
KECK,V,instrumental_center,0.30717146627269887,0.1185,1000,1.0,20.0,30,30,29,29,0.9666666666666667,0.8332960900859083,0.9940914096183875,1.0024716968206184,0.0001326273467293082
KECK,V,instrumental_center,0.30717146627269887,0.1185,1000,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9935625486173129,0.0001310489986803276
KECK,R,combined_seeing_0p7_plus_instrumental_center,0.7645104528927571,0.1185,30,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9753324720977237,0.003475031715833493
KECK,R,combined_seeing_0p7_plus_instrumental_center,0.7645104528927571,0.1185,30,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9682096515995315,0.0023682388120890296
KECK,R,combined_seeing_0p7_plus_instrumental_center,0.7645104528927571,0.1185,30,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9770848912475192,0.002375887037161739
KECK,R,combined_seeing_0p7_plus_instrumental_center,0.7645104528927571,0.1185,300,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9916255754301264,0.0007015878578042756
KECK,R,combined_seeing_0p7_plus_instrumental_center,0.7645104528927571,0.1185,300,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9999370555311057,0.0009522904610567706
KECK,R,combined_seeing_0p7_plus_instrumental_center,0.7645104528927571,0.1185,300,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9998920865675442,0.001115302993167866
KECK,R,combined_seeing_0p7_plus_instrumental_center,0.7645104528927571,0.1185,1000,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9847383973961514,0.0004371175565867358
KECK,R,combined_seeing_0p7_plus_instrumental_center,0.7645104528927571,0.1185,1000,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9987777469779856,0.0004121182535572476
KECK,R,combined_seeing_0p7_plus_instrumental_center,0.7645104528927571,0.1185,1000,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9902540555091274,0.0007141747513067509
KECK,R,instrumental_center,0.30724983805087425,0.1185,30,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9583478706215682,0.0006146885180854655
KECK,R,instrumental_center,0.30724983805087425,0.1185,30,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.972915737956745,0.0008716822413277203
KECK,R,instrumental_center,0.30724983805087425,0.1185,30,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9731093023032816,0.0006887018023317149
KECK,R,instrumental_center,0.30724983805087425,0.1185,300,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9867818083600588,0.00019147927810114762
KECK,R,instrumental_center,0.30724983805087425,0.1185,300,1.0,20.0,30,30,29,29,0.9666666666666667,0.8332960900859083,0.9940914096183875,0.9779273074324083,0.00022552526006891505
KECK,R,instrumental_center,0.30724983805087425,0.1185,300,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9935034427368277,0.00030205908239622214
KECK,R,instrumental_center,0.30724983805087425,0.1185,1000,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9890684211636509,0.00013521501380908685
KECK,R,instrumental_center,0.30724983805087425,0.1185,1000,1.0,20.0,30,30,29,29,0.9666666666666667,0.8332960900859083,0.9940914096183875,0.9792960861374109,0.00012684559046038935
KECK,R,instrumental_center,0.30724983805087425,0.1185,1000,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.982444346511121,9.783740776891925e-05
KECK,I,combined_seeing_0p7_plus_instrumental_center,0.7645735242903665,0.1185,30,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9942711729720001,0.0029891419008973297
KECK,I,combined_seeing_0p7_plus_instrumental_center,0.7645735242903665,0.1185,30,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9938915881955692,0.003548953851744474
KECK,I,combined_seeing_0p7_plus_instrumental_center,0.7645735242903665,0.1185,30,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9780244847074003,0.0031168698256849314
KECK,I,combined_seeing_0p7_plus_instrumental_center,0.7645735242903665,0.1185,300,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,1.0006313965121125,0.0013732881668194752
KECK,I,combined_seeing_0p7_plus_instrumental_center,0.7645735242903665,0.1185,300,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,1.0017177930225032,0.0009520188199542146
KECK,I,combined_seeing_0p7_plus_instrumental_center,0.7645735242903665,0.1185,300,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,1.015424738087586,0.0007864405223574344
KECK,I,combined_seeing_0p7_plus_instrumental_center,0.7645735242903665,0.1185,1000,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9898394645905766,0.0004315540704385723
KECK,I,combined_seeing_0p7_plus_instrumental_center,0.7645735242903665,0.1185,1000,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9989583862453933,0.0005356541899057543
KECK,I,combined_seeing_0p7_plus_instrumental_center,0.7645735242903665,0.1185,1000,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,1.001085333543538,0.0006277342437197575
KECK,I,instrumental_center,0.3074067410545702,0.1185,30,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9807353984391332,0.0005262095958795676
KECK,I,instrumental_center,0.3074067410545702,0.1185,30,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.981094905201786,0.0007495117473512725
KECK,I,instrumental_center,0.3074067410545702,0.1185,30,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9921069318072747,0.0011977043165247725
KECK,I,instrumental_center,0.3074067410545702,0.1185,300,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9984064250445465,0.0002487648011299526
KECK,I,instrumental_center,0.3074067410545702,0.1185,300,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9831344701841871,0.000318470259212722
KECK,I,instrumental_center,0.3074067410545702,0.1185,300,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,1.002077152597455,0.0003114534908870148
KECK,I,instrumental_center,0.3074067410545702,0.1185,1000,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.985449724159399,0.000130991953819104
KECK,I,instrumental_center,0.3074067410545702,0.1185,1000,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9944781997533898,0.00015164367327519246
KECK,I,instrumental_center,0.3074067410545702,0.1185,1000,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9952304152136178,0.00015552801883167433
